"Error_Dist","Scenario","Tau","Method","Kernel","p","MSE_beta","MAE_beta","WMSE_beta","CheckLoss_test","Bias_beta_avg","Coverage_beta_avg","CI_Width_beta_avg","Fit_Time_avg_sec","Rhat_beta_max","ESS_bulk_beta_min","ESS_tail_beta_min","Rhat_theta","ESS_bulk_theta","ESS_tail_theta","Num_Divergences_avg"
"t3_unscaled","Sparse_p20",0.5,"BQR","ALD",20,0.0155960456101594,0.0994960836320175,0.19100804841894,0.583692869226069,-0.00015089141157977,0.94675,0.487433574476175,23.6369922161102,1.00218677790789,2363.19830911814,2348.1887942405,1.00056899379795,4073.20814369756,2851.80602285691,0
"t3_unscaled","Sparse_p20",0.5,"BSQR","Gaussian",20,0.0152949471991899,0.0986541665004244,0.188903030851634,0.583165340906706,-0.000133083845447423,0.957,0.502576488970769,115.956662803888,1.00202345910808,3169.06874173213,2568.51031616995,1.00059337475711,4093.05350024631,2851.19050328485,0.305
"t3_unscaled","Sparse_p20",0.5,"BSQR","Uniform",20,0.0153552228228507,0.0987466293477337,0.18865611139917,0.583154276602043,-7.55797639697953e-05,0.953,0.495995451281615,6.35379983782768,1.00198852010639,3112.58447354164,2556.97348853392,1.0005230296854,4060.93217972549,2820.69551178534,0
"t3_unscaled","Sparse_p20",0.5,"BSQR","Epanechnikov",20,0.0152668334404469,0.0983929698247407,0.188116316081165,0.583084459458259,-6.4227618199194e-05,0.9915,0.711402109341313,38.3603807103634,1.00193394255109,3057.95082540682,2552.28984467326,1.00056185354259,4237.50573823285,2842.24395481552,0
"t3_unscaled","Sparse_p20",0.5,"BSQR","Triangular",20,0.0153584726047721,0.0987016093512494,0.18856176066336,0.583163941171545,-0.000109239740097047,0.95025,0.491187737314211,29.5101873910427,1.00195657156172,2996.49007413688,2566.13310441269,1.00064151050526,4056.50210253759,2834.02006583351,0
"t3_unscaled","Sparse_p20",0.75,"QR","N/A",20,0.0241051243042899,0.122963964398201,0.294009143709019,0.599083369425231,-0.000147178948112357,,,,,,,,,,
"t3_unscaled","Sparse_p20",0.75,"BQR","ALD",20,0.0221479224912384,0.117647176589253,0.268962232869046,1.092276767411,-9.25085036282375e-05,0.903,0.492948275819908,23.4007223212719,1.00201952606469,2332.55084086411,2354.35852165775,1.0005594058816,4064.92903011476,2822.86300673404,0
"t3_unscaled","Sparse_p20",0.75,"BSQR","Gaussian",20,0.0241386934712179,0.120955677903757,0.316469429481135,0.600314832806261,-0.00063338977647898,0.91125,1.03063117816755,119.195682121515,1.00594009882975,3031.87844175495,2538.80641012971,1.00459105387724,3965.72827554137,2787.8910529386,0.48
"t3_unscaled","Sparse_p20",0.75,"BSQR","Uniform",20,0.0225218186095537,0.118620288933315,0.274070667813627,0.596090911797452,7.32195879157879e-05,0.90075,0.499512749246719,6.32768077254295,1.00194846407874,2925.46308895979,2548.05682964377,1.00053487188425,3998.73346757048,2822.19369570997,0
"t3_unscaled","Sparse_p20",0.75,"BSQR","Epanechnikov",20,0.0225014770496287,0.118441266691632,0.273575165930201,0.596026696216688,-2.69110879529925e-05,0.941,0.570800505990107,39.5576494407654,1.0019463113304,2910.36872983335,2542.97665428244,1.00050255306722,4133.00589490271,2828.71121654594,0
"t3_unscaled","Sparse_p20",0.75,"BSQR","Triangular",20,0.022319472500159,0.118128922351122,0.271320679157118,0.595677494896318,-1.80714325782449e-05,0.901,0.496639912896897,30.4669370925426,1.00191432120459,2907.03514279528,2540.14829128505,1.00059146406389,4007.65098567908,2811.57208802486,0
"t3_unscaled","Dense_p8",0.25,"QR","N/A",8,0.0194125312972194,0.112104026646999,0.101767430545409,0.568694814215617,0.00116107657324882,,,,,,,,,,
"t3_unscaled","Dense_p8",0.25,"BQR","ALD",8,0.0175826966975688,0.106734288420781,0.091850859002712,1.12888110725077,0.000997643147031273,0.900625,0.443621384015625,9.79298904180527,1.0017450799749,2225.91932795876,2276.92307681849,1.00064344708559,3515.51586001101,2690.22919688002,0
"t3_unscaled","Dense_p8",0.25,"BSQR","Gaussian",8,0.0181187050343795,0.10838750352358,0.0937190429491893,0.567246987890484,0.00133967851266971,0.910625,0.467684696046875,79.1593862140179,1.0016048079187,2779.09649934384,2510.00852680542,1.00058125932833,3241.01786494825,2632.42082669928,0.39
"t3_unscaled","Dense_p8",0.25,"BSQR","Uniform",8,0.0179960933138324,0.108178087387394,0.093052827215262,0.567150700485995,0.00119640013979377,0.905,0.453501200484375,4.16397519826889,1.00152173967412,2735.00763184469,2474.25822764157,1.00068138600942,3212.5769764866,2650.553840618,0
"t3_unscaled","Dense_p8",0.25,"BSQR","Epanechnikov",8,0.0178769641834354,0.107833618506843,0.0926289956780913,0.567054432167959,0.00114965427746957,0.9525,0.549028214296875,24.6323534691334,1.00157013798452,2701.2128758321,2458.9038116629,1.00060215524928,3401.86094234732,2688.32363016469,0
